document,metadata
"Brand: Anker
Total Reviews: 178.0
Average Review Rating: 4.230337078651686
Average Product Rating: 3.955056179775281
Average Price: nan
Average Helpful Votes: 0.9606741573033708","{'type': 'brand_summary', 'brand': 'Anker'}"
"Brand: Audio-Technica
Total Reviews: 308.0
Average Review Rating: 4.542207792207792
Average Product Rating: 4.3837662337662335
Average Price: 199.0
Average Helpful Votes: 3.448051948051948","{'type': 'brand_summary', 'brand': 'Audio-Technica'}"
"Brand: Bose
Total Reviews: 322.0
Average Review Rating: 3.711180124223602
Average Product Rating: 4.381055900621118
Average Price: nan
Average Helpful Votes: 0.6925465838509317","{'type': 'brand_summary', 'brand': 'Bose'}"
"Brand: JVC
Total Reviews: 123.0
Average Review Rating: 3.796747967479675
Average Product Rating: 3.785365853658536
Average Price: 18.549
Average Helpful Votes: 1.4308943089430894","{'type': 'brand_summary', 'brand': 'JVC'}"
"Brand: LG
Total Reviews: 139.0
Average Review Rating: 3.726618705035971
Average Product Rating: 4.093525179856115
Average Price: 104.99
Average Helpful Votes: 0.3669064748201439","{'type': 'brand_summary', 'brand': 'LG'}"
"Brand: Sennheiser
Total Reviews: 227.0
Average Review Rating: 4.356828193832599
Average Product Rating: 4.196916299559471
Average Price: 161.0625
Average Helpful Votes: 6.308370044052864","{'type': 'brand_summary', 'brand': 'Sennheiser'}"
"Brand: Skullcandy
Total Reviews: 362.0
Average Review Rating: 3.505524861878453
Average Product Rating: 4.22707182320442
Average Price: 33.02408653846154
Average Helpful Votes: 1.5359116022099448","{'type': 'brand_summary', 'brand': 'Skullcandy'}"
"Brand: Sony
Total Reviews: 938.0
Average Review Rating: 3.8891257995735606
Average Product Rating: 4.29498933901919
Average Price: 219.2730362116992
Average Helpful Votes: 2.814498933901919","{'type': 'brand_summary', 'brand': 'Sony'}"
"Brand: SoundPEATS
Total Reviews: 172.0
Average Review Rating: 3.72093023255814
Average Product Rating: 3.661627906976744
Average Price: nan
Average Helpful Votes: 0.4011627906976744","{'type': 'brand_summary', 'brand': 'SoundPEATS'}"
"Brand: Soundcore
Total Reviews: 132.0
Average Review Rating: 3.9696969696969697
Average Product Rating: 4.251515151515152
Average Price: 57.901818181818186
Average Helpful Votes: 1.6136363636363635","{'type': 'brand_summary', 'brand': 'Soundcore'}"
"Anker has an average rating of 4.23 across 178 reviews. Its strongest feature is anc, while the most common customer complaint is sound. Improving sound could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Anker'}"
"Audio-Technica has an average rating of 4.54 across 308 reviews. Its strongest feature is battery, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Audio-Technica'}"
"Bose has an average rating of 3.71 across 322 reviews. Its strongest feature is sound, while the most common customer complaint is comfort. Improving comfort could significantly enhance customer satisfaction.","{'type': 'pm_summary', 'brand': 'Bose'}"
